id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
162064,Wrongo Dongo,보데가스 볼베르 Bodegas Volver,스페인 Spain,알리칸테 Alicante,,,,Monastrell,,,,,,,,,,,,Red,Table,15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,34000.0,2016.0,750.0
149500,"Clos Bagatelle, Donnadieu Cuvee Camille et Juliette",클로 바가텔 Clos Bagatelle,프랑스 France,서던 프랑스 Southern France,랑그독 루씨용 Languedoc Roussillon,,,Grenache,Syrah & Shiraz,Carignan,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,49000.0,2008.0,750.0
150944,Aimery Cremant de Limoux,쉬르 다르크 (씨에르 다르퀴) Sieur d'Arques,프랑스 France,서던 프랑스 Southern France,랑그독 루씨용 Languedoc Roussillon,리무 Limoux,,Chardonnay,Chenin Blanc,Mauzac,,,,,,,,,,Sparkling,Appetizer,12,7~9,SWEET1,ACIDITY4,BODY3,TANNIN1,43000.0,2010.0,750.0
154612,"Alois Lageder, Riff Pinot Grigio   ",알로이스 라게더 Alois Lageder,이탈리아 Italy,트렌티노 알토 아디제 Trentino-Alto Adige,,,,Pinot Grigio,,,,,,,,,,,,White,Table,12.5,10~12,SWEET1,ACIDITY3,BODY2,TANNIN1,25000.0,2013.0,750.0
159876,Les Amants de Mont Perat Rouge,샤또 몽 페라 Chateau Mont Perat,프랑스 France,보르도 Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,25000.0,2014.0,750.0
137601,"Agustinos, Grand Reserve Cabernet Sauvignon",아구스티노스 Agustinos,칠레 Chile,아콩카구아 Aconcagua,아콩카구아 밸리 Aconcagua Valley,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.7,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,45000.0,2007.0,750.0
165994,Chateau Haut Carles,샤또 오 까를르 Chateau Haut Carles,프랑스 France,보르도 Bordeaux,프롱삭 Fronsac,,,Bordeaux Blend Red,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,70000.0,1999.0,750.0
139031,Baron Philippe Pinot Noir,도멘 바롱 드 로칠드 Barons de Rothschild (Domaines Barons de Rothschild),프랑스 France,서던 프랑스 Southern France,랑그독 루씨용 Languedoc Roussillon,,,Pinot Noir,,,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY5,BODY3,TANNIN2,22000.0,2013.0,750.0
158444,Jean Leon Chardonnay,장 레옹 Jean Leon,스페인 Spain,페네데스 Penedes,,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET2,ACIDITY3,BODY4,TANNIN1,65000.0,2016.0,750.0
162787,"Giant Steps, Tarraford Vineyard Syrah",자이언트 스텝스 Giant Steps,호주 Australia,빅토리아 Victoria,야라 밸리 Yarra Valley,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,140000.0,2017.0,750.0
162704,"Olivier Bernstein, Mazis-Chambertin Grand Cru",올리비에 번스타인 Olivier Bernstein,프랑스 France,부르고뉴 Bourgogne,꼬뜨 드 뉘 Cote de Nuits,쥬브레-샹베르땅 Gevrey-Chambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,1650000.0,2016.0,750.0
166509,"Domaine Lecheneaut, Bourgogne Pinot Noir",도멘 레셔노 Domaine Lecheneaut,프랑스 France,부르고뉴 Bourgogne,,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,80000.0,2017.0,750.0
139843,"Clos Du Val, Cabernet Sauvignon Stag's Leap",끌로 뒤발 Clos Du Val,미국 U.S.A,캘리포니아 California,나파 카운티 Napa County,스택스 립 디스트릭트 Stags Leap District,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,266000.0,2012.0,750.0
151397,Tresch Prestige,트레시 Tresch,프랑스 France,,,,,Sangiovese,,,,,,,,,,,,Red,Table,11,13~15,SWEET1,ACIDITY3,BODY3,TANNIN2,18000.0,,750.0
138422,"Amayna, Sauvignon Blanc",아마이나 Amayna,칠레 Chile,아콩카구아 Aconcagua,산 안토니오 밸리 San Antonio Valley,,,Sauvignon blanc,,,,,,,,,,,,White,Table,13.8,10~12,SWEET1,ACIDITY4,BODY3,TANNIN1,80000.0,2008.0,750.0
151792,"Quasar, Perfecto Cabernet Sauvignon",꽈사르 와인즈 Quasar Wines,칠레 Chile,센트럴 밸리 Central Valley,,,,Cabernet Sauvignon,Syrah & Shiraz,Carmenere,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY4,TANNIN5,100000.0,2011.0,750.0
148540,Arrogant Frog Rose,애로건트 프로그 Arrogant Frog,프랑스 France,,,,,Blend,,,,,,,,,,,,Sparkling,"Appetizer, Table",12,6~8,SWEET2,ACIDITY3,BODY2,TANNIN1,34000.0,,750.0
149078,"Domaine Tortochot, Clos de Vougeot Grand Cru",도멘 토르토쇼 Domaine Tortochot,프랑스 France,부르고뉴 Bourgogne,꼬뜨 드 뉘 Cote de Nuits,부죠 Vougeot,,Pinot Noir,,,,,,,,,,,,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,390000.0,2006.0,750.0
148822,"J.Bouchon, Las Mercedes Sauvignon Blanc",훌리오 부숑 J.Bouchon,칠레 Chile,마울레 밸리 Maule Valley,,,,Sauvignon blanc,,,,,,,,,,,,White,"Appetizer, Table",13.5,10~12,SWEET1,ACIDITY4,BODY3,TANNIN1,60000.0,2012.0,750.0
144452,La Demoiselle de Sociando Mallet,샤또 소시앙도 말레 Chateau Sociando Mallet,프랑스 France,보르도 Bordeaux,오-메독 Haut-Medoc,,,Blend,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,79000.0,1999.0,750.0
139051,Albis,하라스 데 피르께 Haras de Pirque,칠레 Chile,마이포 밸리 Maipo Valley,,,,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,,Red,Table,14.5,18~20,SWEET1,ACIDITY3,BODY5,TANNIN4,160000.0,2006.0,750.0
149090,"Thibault Liger Belair, Nuits Saint Georges 1er Cru 'Les Saint Georges'",띠보 리제 벨레르 Thibault Liger Belair,프랑스 France,부르고뉴 Bourgogne,꼬뜨 드 뉘 Cote de Nuits,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,483000.0,2004.0,750.0
141723,"Casa Vitivinicola Tinazzi, Montere  Valpolicella Ripasso",까사 비띠비니꼴라 띠나찌 Casa Vitivinicola Tinazzi,이탈리아 Italy,베네토 Veneto,,,,Corvina,Rondinella,Molinara,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,150000.0,2013.0,750.0
161595,Domaine Mur-Mur-Ium Grenache Grandiose,도멘 뮈르뮈리움 Domaine Mur-Mur-Ium,프랑스 France,Grenache Noir,,,,,,,,,,,,,,,,Red,Table,15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,69000.0,2017.0,750.0
149996,"Arione, Moscato d'Asti ",아리온 Arione,이탈리아 Italy,피에몬테 Piemonte,아스티 Asti,,,Moscato,,,,,,,,,,,,White,Dessert,5,8~10,SWEET4,ACIDITY2,BODY2,TANNIN1,65000.0,2018.0,750.0
