id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,year,ml
163269,"Oddero, Barolo",Oddero,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,2015,750
149457,Gray Fox 1340 Second Edition Chardonnay,Gray Fox Vineyards,USA,California,,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN1,2013,750
149615,Chateau Ferrande Rouge,Chateau Ferrande  Grand Cru Class,France,Bordeaux,Graves,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN4,2015,750
163668,Oristan Crianza,Bodegas Lozano,Spain,La Mancha,,,,Tempranillo,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,2014,750
164495,Veuve du Vernay Ice,CASTEL Groupe CASTEL,France,,,,,Airen,Ugni​ blanc,,,,,,,,,,,Sparkling,Appetizer,11,6~8,SWEET1,ACIDITY3,BODY2,TANNIN1,0,750
141896,"Casanuova della Cerbaie, Brunello di Montalcino",Casanuova della Cerbaie,Italy,Toscana,Montalcino,,,Sangiovese,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,1998,750
143776,"Carpineto, Dogajolo Rosso",Carpineto,Italy,Toscana,,,,Sangiovese,Cabernet Sauvignon,Etc,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN2,2018,750
159041,Pinino Brunello di Montalcino,Pinino,Italy,Toscana,Montalcino,,,Sangiovese Grosso,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,2008,750
146335,"Dugat Py, Gevrey Chambertin 'Coeur de Roy'",Domaine Bernard Dugat Py,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,2010,750
148812,Gesellmann Op Eximium Cuvee No.19,Gesellmann,Austria,Burgenland,,,,Blaufrankisch,St. Laurent,Zweigelt,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,2006,750
140809,"Errazuriz, Max Reserva Cabernet Sauvignon",Vina Errazuriz,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,Syrah & Shiraz,Carmenere,,,,,,,,,,Red,Table,14~15,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,2014,750
154191,"Bisci, Verdicchio di Matelica Passito",Bisci,Italy,Marche,,,,Verdicchio Bianco,,,,,,,,,,,,White,Table,15.5,6~8,SWEET5,ACIDITY3,BODY5,TANNIN1,2006,375
164531,"Arietta, Merlot Hudson Vineyards",Arietta,USA,California,Napa County,Napa Valley,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,2015,750
156979,"Fritz Zimmer, Riesling Kabinett",Fritz Zimmer,Germany,MoselSaarRuwer,,,,Riesling,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY5,BODY1,TANNIN1,2019,750
150240,Aurelius,Union de Producteurs de SaintEmilion,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,2005,750
159767,"De Martino, Legado Reserva Chardonnay",De Martino,Chile,Coquimbo,Limari Valley,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN1,2017,750
161960,"Aaldering, Chardonnay",Aaldering Vineyards  Wines,the Republic of South Africa,Coastal Region,Stellenbosch,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN1,2015,750
165693,"Louis Max Sud, Le Belle Vie",Louis Max,France,Southern France,Languedoc Roussillon,,,Pinot Noir,Syrah & Shiraz,Chardonnay,,,,,,,,,,Red,Table,13~14,8~10,SWEET1,ACIDITY4,BODY3,TANNIN2,2016,750
139131,"Delor, Cabernet Sauvignon",Delor by CVBG,France,Cabernet Sauvignon,,,,,,,,,,,,,,,,Red,Table,13,17~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2003,750
140371,Chateau Fongiras,Producta,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,2007,750
165131,"Scala Dei, Cartoixa",Codorniu,Spain,Catalunya,Priorat,,,Grenache,Carinena,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,2016,750
155446,"Vicente Gandia, David Bowie Shiraz",Vicente Gandia,Spain,Valencia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,13,15~17,SWEET2,ACIDITY3,BODY3,TANNIN3,0,0
155581,Bodegas Palacio Milflores,Bodegas Palacio,Spain,Rioja,,,,Tempranillo,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2013,750
153032,Dauphin de Grand Puy Ducasse,Chateau Grand Puy Ducasse Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,2007,750
143297,"Seresin, Momo Sauvignon Blanc",Seresin Estate,New Zealand,South Island,Marlborough,,,Sauvignon blanc,Semillon,,,,,,,,,,,White,"Appetizer, Table",,,SWEET1,ACIDITY4,BODY3,TANNIN1,2008,750
142183,"Terra Dacica, Merlot Reserva",Terra Dacica,Romania,,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,2003,750
167420,"Les Parcellaire de Saulx, Gevrey Chambertin 1er cru 'Les Corbeaux'",Les Parcellaires de Saulx,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN3,2018,750
155873,Mounts Cabernet Sauvignon Clone 337,Mounts Family Vineyards,USA,California,Sonoma County,Dry Creek Valley,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,15.2,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,2011,750
163752,"Balthasar Ress, Riesling Auslese Tube 100ml	",Balthasar Ress,Germany,Rheingau,,,,Riesling,,,,,,,,,,,,White,Table,,,SWEET3,ACIDITY5,BODY3,TANNIN1,2005,100
163639,"The Hilt, Vanguard Pinot Noir",The Hilt,USA,California,Santa Barbara County,Santa Rita Hills,,Pinot Noir,,,,,,,,,,,,Red,Table,14.1,14~16,SWEET1,ACIDITY3,BODY3,TANNIN2,2015,750
146472,Katnook Founder's Block Shiraz,Katnook Estate,Australia,South Australia,Coonawarra,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,2016,750
153178,"Domaine Matrot, Saint Romain ",Domain Matrot,France,Bourgogne,Cote de Beaune,SaintRomain,,Chardonnay,,,,,,,,,,,,White,"Appetizer, Table",,,SWEET1,ACIDITY4,BODY3,TANNIN1,2018,750
156399,Berberana Reserva seleccion Oro,Bodegas Berberana,Spain,,,,,Tempranillo,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,2011,750
166890,"Meo Camuzet, Nuits Saint Georges 1er Cru",Domaine Meo Camuzet,France,Bourgogne,Cote de Nuits,NuitsStGeorges,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,2017,750
138798,"Champagne Henriot, Brut Millesime",Champagne Henriot,France,Champagne,,,,Pinot Noir,Chardonnay,,,,,,,,,,,Sparkling,"Appetizer, Table",12~13,6~8,SWEET1,ACIDITY5,BODY4,TANNIN1,2008,750
162173,Chateau les Grands Marechaux,Chateau les Marechaux,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,2011,750
152800,"Sanama, Chardonnay",Sanama,Chile,Rapel Valley,,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN1,2014,750
162513,"Casal Garcia, Vinho Verde Sparkling White",Aveleda,Portugal,Vinho Verde,,,,Loureiro,Arinto,,,,,,,,,,,Sparkling,"Appetizer, Table",11~12,6~8,SWEET2,ACIDITY4,BODY2,TANNIN1,0,750
151961,Baile Bravo Sweet White,Bodegas Milenium SL,Spain,Ribeiro,,,,Blend,,,,,,,,,,,,White,"Appetizer, Dessert",11,10~12,SWEET5,ACIDITY2,BODY1,TANNIN1,0,750
